resonance_rad (um),t (s),Eigenfrequency (Hz),"Velocity, X component (m^4/s)","Velocity, Y component (m^4/s)","Velocity, Z component (m^4/s)",Velocity magnitude (m^4/s),1 (m^3)
10,0.92,8.63E+06,-9.1304E-34+7.9097E-34i,-3.5922E-35+1.5176E-34i,-2.6261E-34+1.3986E-33i,8.36E-32,4.32E-14
10,0.92,9.03E+06,2.8769E-32-1.0596E-31i,-1.9934E-34+1.1770E-34i,1.8134E-34-8.1804E-36i,5.82E-31,4.32E-14
10,0.92,9.10E+06,4.7130E-34+5.2275E-34i,-1.6522E-34-3.3583E-35i,1.6978E-34-4.2906E-35i,2.91E-31,4.32E-14
10,0.92,9.45E+06,-3.9848E-34+4.9099E-35i,9.3956E-33-1.7264E-33i,9.4160E-33+5.0441E-33i,3.56E-31,4.32E-14
10,0.92,9.45E+06,-2.3137E-34-5.6223E-34i,6.3190E-33+1.0273E-32i,1.7045E-33-9.8889E-33i,1.90E-31,4.32E-14
10,0.94,2.48E+06,-2.4179E-35+2.6575E-36i,-2.8532E-33-3.2839E-32i,-9.3192E-32-7.7553E-32i,1.19E-31,4.32E-14
10,0.94,2.48E+06,3.8757E-35-9.2986E-35i,-1.0658E-31-5.8217E-32i,3.1578E-32-9.4704E-33i,1.49E-31,4.32E-14
10,0.94,2.84E+06,5.0697E-32+2.4681E-33i,-2.7672E-34+2.9026E-33i,-5.2032E-35-1.5832E-33i,6.96E-32,4.32E-14
10,0.94,2.86E+06,-5.2681E-34-8.3495E-34i,2.9248E-34+4.5491E-34i,-1.3658E-33+8.5136E-34i,4.59E-31,4.32E-14
10,0.94,2.86E+06,-2.9847E-33+2.3626E-33i,-2.8651E-33-2.2389E-33i,2.8653E-34+2.0898E-33i,8.06E-31,4.32E-14
10,0.94,4.58E+06,3.0484E-35-3.3504E-35i,-1.1515E-31+4.3887E-33i,1.5392E-31-1.5783E-32i,5.73E-31,4.32E-14
10,0.94,4.59E+06,-2.5015E-34+2.3875E-34i,8.0104E-32-7.3311E-32i,5.6031E-32-5.8391E-32i,2.93E-31,4.32E-14
10,0.94,4.72E+06,5.3227E-34-8.0570E-34i,-4.0822E-34+1.5643E-33i,-1.5568E-34+8.7969E-35i,1.98E-31,4.32E-14
10,0.94,5.71E+06,3.3897E-32-3.6549E-33i,6.2407E-35+2.7940E-34i,5.6291E-35-7.2872E-35i,5.02E-32,4.32E-14
10,0.94,6.07E+06,6.9875E-34-1.5455E-34i,1.0188E-34+2.1372E-34i,2.1466E-34+1.1139E-34i,8.48E-32,4.32E-14
10,0.94,6.11E+06,8.0163E-34+1.2395E-33i,8.9503E-34+1.5169E-33i,2.6933E-34+1.4383E-35i,2.13E-31,4.32E-14
10,0.94,6.36E+06,4.0440E-34+5.4278E-35i,-4.1737E-33-1.1442E-33i,-1.0737E-32+2.2593E-33i,4.51E-32,4.32E-14
10,0.94,6.39E+06,-2.9922E-34-3.8048E-34i,-1.3241E-32+2.2563E-33i,3.9071E-33-2.3427E-33i,6.96E-32,4.32E-14
10,0.94,6.48E+06,-1.9745E-34+1.2003E-34i,-3.4139E-32+1.8105E-33i,-5.3173E-32-3.4624E-33i,2.58E-31,4.32E-14
10,0.94,6.48E+06,-7.1886E-35+4.1411E-35i,-8.6859E-33-3.0258E-32i,5.0671E-34+1.2630E-32i,6.73E-32,4.32E-14
10,0.94,6.49E+06,9.0494E-35+1.6094E-34i,-1.0936E-33+1.1613E-32i,-3.2152E-34-2.5999E-32i,4.31E-32,4.32E-14
10,0.94,6.76E+06,-4.2559E-34+2.5631E-35i,4.3608E-34-2.7793E-33i,1.3422E-32-3.0894E-33i,5.31E-32,4.32E-14
10,0.94,6.76E+06,1.6585E-34-1.9538E-34i,1.3377E-32-5.2347E-33i,-9.0112E-34+2.1236E-33i,8.16E-32,4.32E-14
10,0.94,7.22E+06,7.3873E-34+6.7710E-34i,-4.0315E-33+1.7686E-33i,2.5766E-32-1.0933E-32i,1.76E-31,4.32E-14
10,0.94,7.23E+06,-1.7731E-34-1.8663E-33i,3.0127E-32-3.8025E-33i,4.8822E-33+3.2964E-35i,1.04E-31,4.32E-14
10,0.94,7.39E+06,-5.3859E-36+7.6209E-34i,7.9236E-32+2.7770E-32i,-3.4515E-32-6.1077E-32i,2.01E-31,4.32E-14
10,0.94,7.39E+06,1.0728E-35+2.4358E-34i,2.0918E-32-5.2798E-32i,6.1550E-32-3.1442E-32i,1.57E-31,4.32E-14
10,0.94,7.82E+06,2.5401E-33-4.3799E-33i,1.9549E-34-1.5148E-34i,-4.0080E-34+5.8801E-34i,1.35E-31,4.32E-14
10,0.94,8.03E+06,1.2253E-31-1.0601E-31i,-3.1491E-35+8.4435E-35i,2.5587E-34-2.5365E-34i,1.55E-31,4.32E-14
10,0.94,8.07E+06,2.9738E-32-2.3437E-32i,-3.5506E-34+5.6116E-34i,-2.5379E-34+5.7881E-34i,2.84E-31,4.32E-14
10,0.94,8.63E+06,-9.3668E-34+9.4391E-34i,-4.1452E-35+1.4396E-34i,-3.4539E-34+1.3945E-33i,9.14E-32,4.32E-14
10,0.94,8.99E+06,1.3108E-32-6.5526E-32i,-1.4630E-34+6.5121E-35i,1.3392E-34-4.4721E-36i,4.46E-31,4.32E-14
10,0.94,9.10E+06,3.2412E-34+1.8350E-34i,-1.3564E-34-5.4277E-36i,1.3475E-34-3.8068E-35i,2.32E-31,4.32E-14
10,0.94,9.45E+06,-2.8097E-34+3.2389E-35i,7.2702E-33-1.2961E-33i,8.0348E-33+2.9494E-33i,2.69E-31,4.32E-14
10,0.94,9.45E+06,-2.0217E-34-3.7101E-34i,5.5219E-33+7.8461E-33i,-3.7210E-34-7.7099E-33i,1.38E-31,4.32E-14
10,0.96,2.49E+06,-1.8242E-35-2.1861E-36i,-7.6232E-33-1.6763E-32i,-6.6855E-32-4.1373E-32i,8.61E-32,4.32E-14
10,0.96,2.49E+06,8.6374E-36-4.4611E-35i,-7.6738E-32-2.1872E-32i,1.7745E-32-5.7492E-33i,1.03E-31,4.32E-14
10,0.96,2.84E+06,2.3329E-32+1.8941E-33i,-2.3014E-34+2.0726E-33i,3.7242E-35-1.1169E-33i,3.65E-32,4.32E-14
10,0.96,2.86E+06,-4.2019E-34-3.5256E-34i,4.4645E-34+9.2083E-35i,-6.1590E-34+9.0089E-34i,3.05E-31,4.32E-14
10,0.96,2.86E+06,-1.8589E-33+4.2534E-34i,-1.1496E-33-2.2168E-33i,-1.9061E-34+1.4753E-33i,5.47E-31,4.32E-14
10,0.96,4.59E+06,2.1833E-35-1.3960E-35i,-7.6975E-32-2.0540E-33i,1.0318E-31-1.5692E-33i,3.83E-31,4.32E-14
10,0.96,4.59E+06,-1.8655E-34+1.3469E-34i,6.0261E-32-4.2219E-32i,4.3621E-32-3.3406E-32i,2.22E-31,4.32E-14
10,0.96,4.73E+06,3.8408E-34-5.5337E-34i,-4.3200E-34+1.0655E-33i,-8.9322E-35+5.8739E-35i,1.85E-31,4.32E-14
10,0.96,5.72E+06,1.5954E-32-1.7131E-33i,4.6676E-35+1.9652E-34i,2.3299E-35-4.9632E-35i,3.64E-32,4.32E-14
10,0.96,6.07E+06,3.7530E-34-4.5739E-35i,9.0388E-35+1.4173E-34i,1.3786E-34+8.6357E-35i,6.55E-32,4.32E-14
10,0.96,6.11E+06,4.9588E-34+8.8261E-34i,5.5878E-34+1.0695E-33i,1.3420E-34+3.3633E-35i,1.39E-31,4.32E-14
10,0.96,6.36E+06,1.8857E-34+1.1581E-35i,-2.0688E-33-5.3759E-34i,-4.7754E-33+2.0419E-33i,3.64E-32,4.32E-14
10,0.96,6.39E+06,-2.4496E-34-2.5637E-34i,-6.6848E-33+2.7161E-33i,1.5864E-33-1.9192E-33i,7.03E-32,4.32E-14
10,0.96,6.47E+06,-9.6568E-35+5.6174E-35i,-2.4953E-32-1.0865E-34i,-3.4746E-32-3.0850E-33i,1.61E-31,4.32E-14
10,0.96,6.48E+06,-4.6407E-35+1.0252E-35i,-1.1831E-32-1.9661E-32i,5.4957E-33+1.2188E-32i,6.11E-32,4.32E-14
10,0.96,6.49E+06,6.0016E-35+1.2997E-34i,3.1691E-35+3.6655E-33i,-2.7896E-33-1.5039E-32i,4.15E-32,4.32E-14
10,0.96,6.76E+06,-1.9756E-34+3.5991E-35i,1.3145E-34-1.4989E-33i,6.1270E-33-2.3980E-33i,4.07E-32,4.32E-14
10,0.96,6.76E+06,6.7984E-35-1.6556E-34i,6.4001E-33-3.7351E-33i,-2.4681E-34+2.0969E-33i,6.83E-32,4.32E-14
10,0.96,7.22E+06,5.2359E-34+3.9687E-34i,-1.8656E-33+1.0710E-33i,1.1815E-32-6.4765E-33i,1.43E-31,4.32E-14
10,0.96,7.24E+06,-1.7007E-34-1.4116E-33i,1.6372E-32-6.3119E-34i,2.7447E-33+4.6217E-34i,6.39E-32,4.32E-14
10,0.96,7.38E+06,1.7211E-34+2.2810E-34i,5.1570E-32-1.8649E-32i,-1.7063E-32-8.0230E-33i,1.19E-31,4.32E-14
10,0.96,7.39E+06,-1.2717E-34+9.3812E-35i,5.9051E-33-1.6577E-32i,4.7115E-32-2.2124E-32i,9.89E-32,4.32E-14
10,0.96,7.82E+06,3.8541E-34-3.0771E-33i,6.4125E-35-1.5848E-34i,-8.5467E-35+4.8580E-34i,3.30E-32,4.32E-14
10,0.96,8.06E+06,8.7885E-32-6.5772E-32i,5.7385E-35-5.9230E-35i,2.7041E-34-2.7390E-34i,1.44E-31,4.32E-14
10,0.96,8.07E+06,8.8455E-32-6.6531E-32i,-2.7600E-34+3.3475E-34i,-5.9732E-35+1.7985E-34i,2.05E-31,4.32E-14
10,0.96,8.64E+06,-6.5425E-34+7.0698E-34i,-3.7136E-35+8.9573E-35i,-3.4645E-34+9.0189E-34i,8.02E-32,4.32E-14
10,0.96,8.95E+06,-2.1557E-33-3.1996E-32i,-8.9933E-35+4.1955E-35i,8.7110E-35-1.4501E-35i,3.15E-31,4.32E-14
10,0.96,9.10E+06,1.9711E-34+4.7016E-35i,-9.2448E-35+7.4773E-36i,9.1924E-35-2.6506E-35i,1.55E-31,4.32E-14
10,0.96,9.45E+06,-1.7967E-34+2.9035E-35i,4.9287E-33-1.0535E-33i,5.9449E-33+9.2446E-34i,1.83E-31,4.32E-14
10,0.96,9.45E+06,-1.6332E-34-2.1341E-34i,4.4539E-33+5.0181E-33i,-1.7300E-33-4.9518E-33i,1.11E-31,4.32E-14
10,0.98,2.49E+06,-1.0560E-35-2.8510E-36i,-6.1444E-33-6.0321E-33i,-3.7312E-32-1.8218E-32i,4.90E-32,4.32E-14
10,0.98,2.49E+06,-4.5059E-36-1.1661E-35i,-4.1376E-32+1.2030E-32i,7.3279E-33-5.0744E-33i,5.46E-32,4.32E-14
10,0.98,2.84E+06,6.9685E-33+8.7663E-34i,-1.6738E-34+1.2628E-33i,6.4810E-35-6.7480E-34i,2.47E-32,4.32E-14
10,0.98,2.86E+06,-1.6300E-34-4.5634E-35i,2.4609E-34-1.8476E-35i,-1.6200E-34+6.1476E-34i,1.32E-31,4.32E-14
10,0.98,2.86E+06,-5.6186E-34-2.6914E-34i,4.3841E-34-1.5574E-33i,-5.9473E-34+7.5039E-34i,2.02E-31,4.32E-14
10,0.98,4.59E+06,1.1356E-35-1.6173E-36i,-3.8098E-32-7.1312E-33i,5.1184E-32+8.4884E-33i,1.90E-31,4.32E-14
10,0.98,4.59E+06,-1.1389E-34+5.3266E-35i,3.6940E-32-1.6955E-32i,2.7345E-32-1.3251E-32i,1.37E-31,4.32E-14
10,0.98,4.73E+06,1.9501E-34-3.1639E-34i,-2.7393E-34+5.8065E-34i,-3.6191E-35+3.7062E-35i,1.11E-31,4.32E-14
10,0.98,5.72E+06,4.0912E-33-3.7868E-34i,2.9664E-35+9.7823E-35i,1.9650E-36-2.3729E-35i,2.35E-32,4.32E-14
10,0.98,6.07E+06,1.3656E-34-1.0230E-35i,7.0062E-35+5.4014E-35i,7.4995E-35+3.4490E-35i,4.51E-32,4.32E-14
10,0.98,6.11E+06,4.1209E-34+4.5114E-34i,4.8265E-34+5.4588E-34i,5.7672E-35+1.7892E-35i,1.30E-31,4.32E-14
10,0.98,6.36E+06,5.1879E-35+1.6037E-36i,-6.5246E-34-2.1500E-34i,-9.6142E-34+1.0060E-33i,2.81E-32,4.32E-14
10,0.98,6.40E+06,-1.8377E-34-9.9024E-35i,-1.6177E-33+1.6016E-33i,-3.9410E-35-9.0905E-34i,6.36E-32,4.32E-14
10,0.98,6.47E+06,-3.7877E-35+2.0946E-35i,-1.4110E-32+1.4986E-33i,-1.8130E-32+1.1092E-33i,8.33E-32,4.32E-14
10,0.98,6.48E+06,-2.2278E-35+4.6972E-36i,-1.1755E-32-5.3552E-33i,7.7391E-33+4.0643E-33i,5.25E-32,4.32E-14
10,0.98,6.49E+06,4.5602E-35+7.2766E-35i,3.6609E-34+1.1660E-33i,-3.4243E-33-7.1118E-33i,4.26E-32,4.32E-14
10,0.98,6.76E+06,-5.3919E-35+2.4647E-35i,-6.0855E-35-6.9123E-34i,1.5750E-33-1.3790E-33i,3.90E-32,4.32E-14
10,0.98,6.76E+06,5.0675E-37-9.1773E-35i,1.4156E-33-1.8099E-33i,1.8694E-34+1.2556E-33i,5.32E-32,4.32E-14
10,0.98,7.23E+06,3.1019E-34+8.5941E-35i,-4.2033E-34+4.2569E-34i,2.7519E-33-2.5659E-33i,9.61E-32,4.32E-14
10,0.98,7.24E+06,-1.4521E-34-8.9876E-34i,5.6486E-33+8.3497E-34i,1.0007E-33+5.3928E-34i,3.33E-32,4.32E-14
10,0.98,7.38E+06,6.2995E-35+4.0294E-35i,2.4581E-32-1.4023E-32i,-3.6689E-33-8.5096E-34i,5.10E-32,4.32E-14
10,0.98,7.38E+06,-8.5766E-35+3.4101E-35i,1.5125E-33-3.1873E-33i,2.5133E-32-9.9074E-33i,4.98E-32,4.32E-14
10,0.98,7.82E+06,-6.9044E-34-1.3031E-33i,-3.0338E-35-8.1476E-35i,1.1199E-34+2.2483E-34i,3.36E-32,4.32E-14
10,0.98,8.07E+06,3.2223E-32-2.2913E-32i,2.0586E-34-1.8330E-34i,2.9699E-34-2.7298E-34i,1.61E-31,4.32E-14
10,0.98,8.09E+06,4.6056E-32-3.5423E-32i,-6.0304E-35+5.9930E-35i,5.2691E-35-3.3693E-35i,5.71E-32,4.32E-14
10,0.98,8.64E+06,-3.7969E-34+3.5635E-34i,-2.8765E-35+3.9178E-35i,-2.8818E-34+4.0382E-34i,6.41E-32,4.32E-14
10,0.98,8.93E+06,-7.3974E-33-5.3368E-33i,-2.9393E-35+3.9391E-35i,3.2360E-35-3.2492E-35i,1.35E-31,4.32E-14
10,0.98,9.10E+06,9.0793E-35-2.7765E-36i,-4.5954E-35+8.7095E-36i,4.6404E-35-1.3554E-35i,7.60E-32,4.32E-14
10,0.98,9.44E+06,-8.8975E-35+3.3124E-35i,2.5164E-33-1.0185E-33i,3.2406E-33-6.4993E-34i,9.46E-32,4.32E-14
10,0.98,9.45E+06,-1.2174E-34-6.7042E-35i,3.2764E-33+1.6568E-33i,-2.2104E-33-1.7423E-33i,9.06E-32,4.32E-14
10,1,2.49E+06,-1.6523E-39i,-1.1871E-36i,-6.0132E-36i,2.91E-43,4.32E-14
10,1,2.49E+06,-2.0481E-41i,-1.2426E-36i,2.4464E-37i,6.06E-44,4.32E-14
10,1,2.84E+06,-7.9717E-38i,-1.2488E-36i,6.6313E-37i,7.35E-42,4.32E-14
10,1,2.86E+06,-1.6123E-38i,2.2023E-39i,-3.0504E-37i,5.54E-42,4.32E-14
10,1,2.86E+06,-4.8767E-39i,3.8709E-37i,-2.2057E-37i,4.63E-42,4.32E-14
10,1,4.59E+06,1.3336E-40i,-4.7489E-37i,6.3543E-37i,8.30E-44,4.32E-14
10,1,4.59E+06,1.4193E-39i,-4.6050E-37i,-3.4440E-37i,6.13E-44,4.32E-14
10,1,4.73E+06,-1.7581E-39i,3.0494E-39i,2.3226E-40i,4.32E-44,4.32E-14
10,1,5.72E+06,-1.4368E-37i,-1.9316E-38i,4.2100E-39i,5.55E-43,4.32E-14
10,1,6.07E+06,1.9244E-38i,1.5863E-38i,1.4611E-38i,3.60E-43,4.32E-14
10,1,6.11E+06,-1.4910E-36i,-1.7787E-36i,-1.2270E-37i,1.82E-41,4.32E-14
10,1,6.37E+06,-4.5964E-39i,9.1829E-38i,-8.7935E-38i,4.07E-43,4.32E-14
10,1,6.40E+06,-8.9500E-38i,-1.4101E-37i,-2.4522E-37i,1.33E-42,4.32E-14
10,1,6.47E+06,-1.0012E-38i,-4.0034E-36i,-4.9475E-36i,8.14E-43,4.32E-14
10,1,6.48E+06,-4.8756E-39i,-2.8939E-36i,2.0543E-36i,4.68E-43,4.32E-14
10,1,6.48E+06,-1.3744E-37i,-1.5761E-36i,1.2056E-35i,5.22E-42,4.32E-14
10,1,6.76E+06,-1.7902E-38i,8.1031E-37i,1.3017E-36i,6.96E-42,4.32E-14
10,1,6.76E+06,7.9151E-38i,1.1719E-36i,-1.1532E-36i,4.71E-42,4.32E-14
10,1,7.23E+06,6.8211E-38i,-5.2269E-38i,3.6087E-37i,7.95E-43,4.32E-14
10,1,7.24E+06,-6.8437E-37i,1.5284E-36i,5.7172E-37i,3.28E-42,4.32E-14
10,1,7.38E+06,-2.1379E-39i,-1.7881E-36i,1.1232E-37i,1.27E-43,4.32E-14
10,1,7.38E+06,7.5069E-38i,-1.3134E-36i,-2.1517E-35i,1.41E-42,4.32E-14
10,1,7.82E+06,7.3374E-36i,4.4199E-37i,-1.2775E-36i,4.87E-41,4.32E-14
10,1,8.07E+06,7.6755E-37i,7.4131E-39i,1.0044E-38i,1.85E-43,4.32E-14
10,1,8.09E+06,-1.7545E-35i,2.2862E-38i,-2.1375E-38i,7.35E-43,4.32E-14
10,1,8.64E+06,-5.2146E-37i,-4.7386E-38i,-4.8769E-37i,3.90E-42,4.32E-14
10,1,8.93E+06,3.3305E-37i,5.9948E-39i,-5.6973E-39i,7.53E-43,4.32E-14
10,1,9.10E+06,1.4395E-37i,-7.6892E-38i,7.9556E-38i,4.38E-42,4.32E-14
10,1,9.44E+06,-1.6624E-39i,4.8016E-38i,5.8867E-38i,1.30E-43,4.32E-14
10,1,9.45E+06,-2.2273E-39i,5.9955E-38i,-4.5639E-38i,1.13E-43,4.32E-14
10,1.02,2.49E+06,2.6594E-40-9.6178E-40i,-7.9957E-39-1.2093E-36i,5.3587E-37-3.3917E-36i,6.87E-37,4.32E-14
10,1.02,2.49E+06,5.2892E-41+2.6130E-41i,-2.9955E-40-1.2431E-36i,-7.1306E-38+4.3191E-37i,1.50E-37,4.32E-14
10,1.02,2.84E+06,-1.7173E-38-3.5966E-38i,1.4704E-36-2.5556E-36i,2.1682E-37+1.8485E-37i,6.65E-35,4.32E-14
10,1.02,2.86E+06,-8.3121E-38+1.5436E-38i,1.1005E-38+2.5152E-37i,-1.0575E-37-2.3116E-37i,4.07E-35,4.32E-14
10,1.02,2.86E+06,-2.2273E-36-3.5858E-36i,1.2176E-36-4.9075E-37i,7.6885E-38-2.2029E-38i,5.13E-34,4.32E-14
10,1.02,4.59E+06,-1.1508E-40-3.1388E-40i,-5.1029E-39-4.7994E-37i,1.9140E-37+9.7480E-37i,5.76E-37,4.32E-14
10,1.02,4.59E+06,1.8028E-40+1.2549E-39i,-1.1046E-39-4.6235E-37i,-4.1313E-38-2.1958E-37i,1.41E-37,4.32E-14
10,1.02,4.73E+06,-2.6314E-41-1.7583E-39i,-1.8346E-40+3.0437E-39i,7.0014E-41+2.2864E-40i,3.48E-38,4.32E-14
10,1.02,5.72E+06,-1.6432E-38-1.4299E-37i,-7.9586E-38-1.0569E-38i,-2.0098E-40+4.2581E-39i,2.03E-36,4.32E-14
10,1.02,6.07E+06,2.0333E-39+1.8849E-38i,1.8222E-37-2.6183E-39i,5.5045E-39+1.4091E-38i,1.10E-36,4.32E-14
10,1.02,6.11E+06,-1.7688E-38-1.4855E-36i,1.4627E-37-1.7690E-36i,-3.7346E-36-8.4586E-38i,1.43E-35,4.32E-14
10,1.02,6.37E+06,4.8187E-39-5.3325E-39i,1.4462E-39+9.2273E-38i,-1.5002E-38-8.6839E-38i,1.64E-36,4.32E-14
10,1.02,6.40E+06,-4.9258E-38-8.4584E-38i,-4.0662E-38-1.3641E-37i,-3.1034E-38-2.4395E-37i,3.42E-36,4.32E-14
10,1.02,6.47E+06,2.0657E-39-1.0990E-38i,2.0082E-37-4.3861E-36i,5.2867E-38-7.3077E-36i,1.04E-35,4.32E-14
10,1.02,6.48E+06,-6.9820E-39-6.0895E-39i,1.5112E-37-3.0006E-36i,5.8904E-38+1.3164E-36i,3.64E-36,4.32E-14
10,1.02,6.49E+06,5.9846E-38-4.5199E-38i,-4.7342E-37-1.8658E-36i,-1.2747E-36+9.6670E-36i,6.17E-35,4.32E-14
10,1.02,6.76E+06,8.2107E-39-8.2981E-39i,-4.7358E-37+3.1216E-37i,-8.0975E-37+4.4379E-37i,1.39E-34,4.32E-14
10,1.02,6.76E+06,-6.0020E-38+8.4732E-38i,7.5737E-38+1.1966E-36i,-7.2788E-38-1.1687E-36i,1.24E-35,4.32E-14
10,1.02,7.23E+06,-2.4680E-38+6.7582E-38i,8.5017E-39-5.2234E-38i,1.5392E-39+3.6080E-37i,4.21E-37,4.32E-14
10,1.02,7.25E+06,7.6840E-37-6.8536E-37i,4.4454E-38+1.5338E-36i,1.5387E-38+5.7160E-37i,1.93E-36,4.32E-14
10,1.02,7.38E+06,-1.5083E-39-2.1358E-39i,3.0778E-38-1.7912E-36i,-7.7124E-38+1.1079E-37i,2.38E-37,4.32E-14
10,1.02,7.38E+06,-2.9248E-38+6.1422E-38i,-2.1310E-37-1.4067E-36i,8.4196E-36-1.7309E-35i,1.64E-35,4.32E-14
10,1.02,7.82E+06,-3.9554E-36+6.2492E-36i,-2.0319E-37+3.9334E-37i,6.2775E-37-1.1141E-36i,2.14E-34,4.32E-14
10,1.02,8.07E+06,-1.2877E-38+7.6627E-37i,5.1675E-40+7.3964E-39i,6.0309E-40+1.0029E-38i,1.29E-37,4.32E-14
10,1.02,8.09E+06,6.1054E-37-1.7541E-35i,-1.1826E-38+2.2416E-38i,3.5592E-40-2.1376E-38i,8.59E-37,4.32E-14
10,1.02,8.64E+06,8.3118E-38-5.0801E-37i,1.6161E-38-4.5391E-38i,1.2568E-36-3.2281E-37i,1.59E-35,4.32E-14
10,1.02,8.92E+06,-1.2506E-37+1.8416E-37i,-1.8000E-38-7.2883E-39i,3.1861E-39-2.2981E-39i,7.94E-36,4.32E-14
10,1.02,9.10E+06,-1.7632E-38+1.4357E-37i,1.3185E-38-7.7023E-38i,-3.2517E-38+7.6777E-38i,1.16E-35,4.32E-14
10,1.02,9.44E+06,6.4564E-40-1.7004E-39i,5.0757E-40+4.8456E-38i,-6.9457E-39+5.6076E-38i,1.79E-37,4.32E-14
10,1.02,9.45E+06,1.0700E-39-2.2088E-39i,-1.4695E-39+6.0375E-38i,7.5346E-39-4.7041E-38i,2.02E-37,4.32E-14
10,1.04,2.49E+06,1.8327E-40-1.5373E-40i,-3.8844E-39-1.2338E-36i,8.4563E-38-2.5889E-37i,2.44E-37,4.32E-14
10,1.04,2.49E+06,-5.0609E-40+1.2975E-39i,2.0639E-38-1.2852E-36i,-1.9362E-36+5.5351E-36i,2.43E-36,4.32E-14
10,1.04,2.84E+06,-1.5227E-38-2.0481E-38i,9.4160E-37-3.0194E-36i,1.4534E-37+6.1837E-38i,4.36E-35,4.32E-14
10,1.04,2.86E+06,-4.2824E-38+1.2519E-38i,6.8517E-38+2.9798E-37i,-1.6884E-37-1.7836E-37i,6.66E-35,4.32E-14
10,1.04,2.87E+06,-9.3691E-36-6.6598E-36i,1.1815E-36-9.8210E-37i,1.7837E-37-2.3084E-37i,4.73E-34,4.32E-14
10,1.04,4.58E+06,-9.1643E-40-1.8744E-39i,-2.0151E-38-4.9768E-37i,9.2331E-37+2.1548E-36i,2.76E-36,4.32E-14
10,1.04,4.59E+06,3.0140E-40+1.0849E-39i,-2.9488E-39-4.6430E-37i,-3.5817E-38-9.1800E-38i,1.61E-37,4.32E-14
10,1.04,4.73E+06,-5.2975E-41-1.7588E-39i,-3.6429E-40+3.0269E-39i,1.3995E-40+2.1787E-40i,6.95E-38,4.32E-14
10,1.04,5.72E+06,-3.2429E-38-1.4099E-37i,-1.5964E-37+1.5769E-38i,-4.1587E-40+4.4037E-39i,4.00E-36,4.32E-14
10,1.04,6.07E+06,3.8267E-39+1.7710E-38i,3.5571E-37-5.6187E-38i,1.0764E-38+1.2587E-38i,2.16E-36,4.32E-14
10,1.04,6.11E+06,-3.6197E-38-1.4689E-36i,2.8667E-37-1.7410E-36i,-7.3640E-36+3.4170E-38i,2.84E-35,4.32E-14
10,1.04,6.37E+06,9.4948E-39-7.5013E-39i,2.7505E-39+9.3572E-38i,-2.9289E-38-8.3730E-38i,3.19E-36,4.32E-14
10,1.04,6.40E+06,-9.6486E-38-7.0053E-38i,-7.9038E-38-1.2296E-37i,-6.1899E-38-2.4022E-37i,6.74E-36,4.32E-14
10,1.04,6.47E+06,1.5303E-38-1.2320E-38i,1.2231E-36-6.0624E-36i,2.6017E-36-1.7774E-35i,4.68E-35,4.32E-14
10,1.04,6.48E+06,-1.0875E-38-7.4364E-39i,2.8322E-37-3.1046E-36i,5.7521E-38+5.4666E-37i,3.62E-36,4.32E-14
10,1.04,6.49E+06,5.5215E-38-2.6958E-38i,-3.8957E-37-1.7910E-36i,-1.2021E-36+1.0507E-35i,5.67E-35,4.32E-14
10,1.04,6.76E+06,3.1448E-39-3.5864E-39i,-2.6412E-37+9.5539E-38i,-4.6183E-37+9.6528E-38i,7.83E-35,4.32E-14
10,1.04,6.76E+06,-1.3020E-37+9.8775E-38i,1.2495E-37+1.2637E-36i,-1.2829E-37-1.2098E-36i,2.15E-35,4.32E-14
10,1.04,7.23E+06,-4.9001E-38+6.5775E-38i,1.6953E-38-5.2153E-38i,3.6131E-39+3.6058E-37i,8.46E-37,4.32E-14
10,1.04,7.25E+06,1.5372E-36-6.9190E-37i,9.2788E-38+1.5498E-36i,3.2126E-38+5.7116E-37i,3.90E-36,4.32E-14
10,1.04,7.38E+06,-3.0189E-39-2.1296E-39i,6.3069E-38-1.8005E-36i,-1.4951E-37+1.0625E-37i,4.71E-37,4.32E-14
10,1.04,7.38E+06,-3.8829E-38+4.1556E-38i,-2.4972E-37-1.5494E-36i,1.0816E-35-1.1135E-35i,2.10E-35,4.32E-14
10,1.04,7.82E+06,-5.9434E-36+4.6331E-36i,-2.9706E-37+3.2829E-37i,9.2175E-37-8.8322E-37i,3.14E-34,4.32E-14
10,1.04,8.07E+06,-2.5502E-38+7.6244E-37i,1.0342E-39+7.3460E-39i,1.2073E-39+9.9843E-39i,2.58E-37,4.32E-14
10,1.04,8.09E+06,1.2928E-36-1.7524E-35i,-2.3751E-38+2.0979E-38i,8.0014E-40-2.1378E-38i,1.79E-36,4.32E-14
10,1.04,8.63E+06,1.5179E-37-4.7249E-37i,3.0395E-38-4.0171E-38i,2.3607E-36+1.0876E-37i,2.90E-35,4.32E-14
10,1.04,8.92E+06,-9.7803E-38+7.1519E-38i,-1.4635E-38-1.6026E-38i,2.3272E-39+9.8162E-41i,6.18E-36,4.32E-14
10,1.04,9.10E+06,-3.5053E-38+1.4289E-37i,2.6667E-38-7.7785E-38i,-6.5985E-38+6.8733E-38i,2.32E-35,4.32E-14
10,1.04,9.45E+06,1.3355E-39-1.8018E-39i,8.0221E-40+4.9785E-38i,-1.1947E-38+4.7971E-38i,3.24E-37,4.32E-14
